公司名称,联系电话,费率,付费方式,创建时间,单价,房号,地址,区域,状态,小区名称,租赁方式
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/01,800元/月,11C-3-4,金牛区铁路新村11C栋3单元2楼4号,金牛区,挂牌公示, 金牛区铁路新村,整租,43.86
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/11/01,970元/月,4-1-4,东升街道三强东路一段112号4栋1单元7楼4号,双流区,挂牌公示,欧城雅典,整租,50.85
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1000元/月,1-1-4,锦江区水碾河南路79号1栋1单元1楼4号,锦江区,挂牌公示,水碾河路南,整租,46
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/09/27,800元/月,1--819,西航港街道长城路二段308号1栋8楼819号,双流区,挂牌公示,文星生活广场,整租,41.36
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/11,1000元/月,1-2-19,武侯区国学巷37号1栋2单元2楼19号,武侯区,挂牌公示,国学巷,整租,33.89
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/20,780元/月,49-3-3,金牛区西体路11号49栋3单元5楼3号,金牛区,挂牌公示,新二村,整租,26.46
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/07/11,1000元/月,7-5-1,成华区双沙路160号7栋5单元2楼1号,成华区,挂牌公示,清盘项目2012-10-19 14:28:24,整租,66.64
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/21,700元/月,1-1-11,金牛区站西桥东巷12号1栋1单元6楼11号,金牛区,挂牌公示,清盘项目2010-12-30 15:55:44,整租,52.43
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/13,900元/月,1-4-2,成华区福康街82号1栋4单元1楼2号,成华区,挂牌公示,清盘项目2010-08-04 14:04:48,整租,40.12
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/18,1000元/月,7-2-2,金牛区蜀西环街126号7栋2单元2楼2号,金牛区,挂牌公示,郎家村七、八组拆迁安置房工程,整租,63.13
成都润锦城实业有限公司,02886943422,12%,季付,2022/10/25,1800元/月,1-4-42,青羊区包家巷82号附1号1栋4单元4楼42号,青羊区,挂牌公示,清盘项目2010-09-10 13:16:49,整租,72.72
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/14,1100元/月,4-2-14,金牛区安居苑4栋2单元5楼14号,金牛区,挂牌公示,安居苑,整租,49.3
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/24,1100元/月,30-3-29,锦江区狮子山路4号30栋3单元3楼29号,锦江区,挂牌公示,农科院,整租,38.96
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/30,1700元/月,10-2-13,金牛区黄忠小区二期10栋2单元7楼13号,金牛区,挂牌公示,黄忠小区二期,整租,76.1
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/08,1500元/月,1-1-24,青羊区白丝街2号1栋1单元11楼24号,青羊区,挂牌公示,缤纷假日国际公寓,整租,51.6
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/29,2000元/月,3-3-703,武侯区铁佛路108号3栋3单元7楼703号,武侯区,挂牌公示,铁佛新居北片区一期A、B标段,整租,96.93
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/07,1800元/月,1-3-102,武侯区龙门巷6号1栋3单元1楼102号,武侯区,挂牌公示,清盘项目2011-03-07 15:23:23,整租,66.78
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/24,1800元/月,65-3-51,锦江区水碾河路6号65栋3单元5楼51号,锦江区,挂牌公示,清盘项目2010-07-31 10:01:36,整租,59.48
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/10,1600元/月,\-1-1,金牛区红花北路27号\栋1单元1楼1号,金牛区,挂牌公示,金牛区红花北路27号,整租,61.43
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/25,1850元/月,1-1-3,金牛区饮马河街13号1栋1单元1楼3号,金牛区,挂牌公示,清盘项目2010-07-28 10:42:19,整租,64.81
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/31,1200元/月,1-2-409,青羊区西大街84号1栋2单元4楼409号,青羊区,挂牌公示,清盘项目2012-04-16 13:46:03,整租,37.74
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/11/03,1482元/月,5-1-1903,青羊区光华东三路401号5栋1单元19楼1903号,青羊区,挂牌公示,成都国嘉志得置业有限公司,整租,53.79
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/25,1780元/月,1-1-1604,武侯区电信路28号1栋1单元16楼1604号,武侯区,挂牌公示,康郡傲仕门,整租,56.14
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/25,2000元/月,2-1-2602,成华区成华大道龙潭路3号2栋1单元26楼2602号,成华区,挂牌公示,住宅及配套设施（上东国际一期）,整租,85.48
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/15,1600元/月,1-2-1302,成华区华油路8号1栋2单元13楼1302号,成华区,挂牌公示,首汇观筑,整租,54.17
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/23,1800元/月,1-1-19,锦江区青石桥南街50号1栋1单元7楼19号,锦江区,挂牌公示,清盘项目2010-9-27 15:35:22,整租,57.3
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/11,1800元/月,1-2-2,青羊区锦里西路119号1栋2单元6楼2号,青羊区,挂牌公示,现代城,整租,55.91
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/23,2000元/月,2-2-13,锦江区三圣街58号2栋2单元7楼13号,锦江区,挂牌公示,清盘项目2010-08-20 16:25:02,整租,54.12
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/11/08,1500元/月,3-1-1301,青羊区清波路75号3栋1单元13楼1301号,青羊区,挂牌公示,金沙柏林郡,整租,67.88
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/16,1460元/月,1-2-13,武侯区长益路2号1栋2单元8楼13号,武侯区,挂牌公示,清盘项目2011-4-8 13:19:15,整租,43.07
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/09/21,1700元/月,1-3-1004,青羊区瑞联路59号1栋3单元10楼1004号,青羊区,挂牌公示,T.T尚品,整租,56.22
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/02,1650元/月,2-3-8,武侯区置信路2号2栋3单元12楼8号,武侯区,挂牌公示,远鸿方程式,整租,49.32
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/18,1700元/月,-1-11,锦江区梓潼桥西街16号1单元4楼11号,锦江区,挂牌公示,锦江区梓潼桥西街,整租,52
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/09/25,2000元/月,3-1-13,金牛区白果林小区百寿巷2号3栋1单元7楼13号,金牛区,挂牌公示,白果林小区,整租,72.18
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1000元/月,1-1-4,锦江区水碾河南路79号1栋1单元1楼4号,锦江区,挂牌公示,水碾河路南,整租,46
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/16,1200元/月,4--27,金牛区田家巷18号4栋7楼27号,金牛区,挂牌公示,清盘项目2010-10-09 15:55:19,整租,54.24
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/18,1858元/月,-3-19,青羊区方正东街58号3单元5楼19号,青羊区,挂牌公示,方正东街,整租,59.6
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/13,1140元/月,1--5,武侯区一环路南一段2号1栋4楼5号,武侯区,挂牌公示,好望角,整租,32.99
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/04,1950元/月,2-3-2103,成华区御风二路9号2栋3单元21楼2103号,成华区,挂牌公示,信和御龙山,整租,64.21
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/16,1500元/月,\-2-10,青羊区灯笼街140号\栋2单元3楼10号,青羊区,挂牌公示,清盘项目2010-4-13 10:08:59,整租,52.38
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/23,1250元/月,12--16,青羊区瑞南街33号12栋4楼16号,青羊区,挂牌公示,清盘项目2010-12-02 16:21:10,整租,46.97
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/01,1240元/月,4-4-1607,金牛区花牌坊北街99号4栋4单元16楼1607号,金牛区,挂牌公示,西锦国际二期,整租,45.6
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/05,1350元/月,2-1-14,金牛区抚琴西路250号2栋1单元5楼14号,金牛区,挂牌公示,清盘项目2010-08-10 14:22:16,整租,47.27
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/05,1100元/月,1-11-1008,锦江区锦华路一段8号1栋11单元10楼1008号,锦江区,挂牌公示,万达锦华城,整租,40.96
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/17,1100元/月,1-1-302,锦江区国槐街698号1栋1单元3楼302号,锦江区,挂牌公示,海桐一期,整租,46.69
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/05,1500元/月,12-1-1107,青羊区成飞大道南段199号12栋1单元11楼1107号,青羊区,挂牌公示,凯德・风尚二期,整租,56.28
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/10,1400元/月,4-2-7,锦江区永兴巷9号4栋2单元4楼7号,锦江区,挂牌公示,清盘项目2010-12-24 14:04:01,整租,41.42
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/19,2000元/月,1-1-12,青羊区大庆路1号1栋1单元7楼12号,青羊区,挂牌公示,大庆路,整租,115.6
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/09/18,1350元/月,3-2-9,金牛区实业街59号3栋2单元5楼9号,金牛区,挂牌公示,丽晶花园,整租,46.77
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/01,1480元/月,10-1-1003,金牛区天龙南一路118号10栋1单元10楼1003号,金牛区,挂牌公示,北星城,整租,80.02
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/23,1258元/月,1--23,武侯区少陵横街5号1栋8楼23号,武侯区,挂牌公示,锦宏・纳米爱邸,整租,42.1
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/06,1500元/月,1-3-5,金牛区金鱼街73号1栋3单元3楼5号,金牛区,挂牌公示,金鱼街,整租,58.24
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/21,1600元/月,5-4-14,武侯区金雁路181号5栋4单元4楼14号,武侯区,挂牌公示,清盘项目2011-3-23 11:13:12,整租,74.6
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1800元/月,1-1-3,武侯区龙腾中路10号1栋1单元5楼3号,武侯区,挂牌公示,住宅、商业用房、附属设施用房,整租,53.22
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/09,1100元/月,8--1305,金牛区五福桥东路9号8栋13楼1305号,金牛区,挂牌公示,北城天街,整租,39.6
成都润锦城实业有限公司,02886943422,12%,季付,2022/09/25,1900元/月,1-5-9,青羊区鼓楼北三街32号1栋5单元9号,青羊区,挂牌公示,鼓楼北三街,整租,58.39
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/09,1458元/月,5-3,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,46.97
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/09,1471元/月,5-1,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,47.32
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/09,1661元/月,5-2,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,53.47
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/01,2000元/月,7-1-3404,成华区和美西路8号7栋1单元34楼3404号,成华区,挂牌公示,首创国际城,整租,88.62
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/04,1300元/月,A-1-12,锦江区五世同堂街72号A栋1单元7楼12号,锦江区,挂牌公示,清盘项目2010-11-30 10:34:32,整租,54.91
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/26,2000元/月,2-1-7,金牛区白马寺街17号2栋1单元5楼7号,金牛区,挂牌公示,清盘项目2010-09-25 11:40:19,整租,97.32
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/14,1700元/月,1-3-7,青羊区文庙前街85号1栋3单元4楼7号,青羊区,挂牌公示,清盘项目2010-09-19 15:12:10,整租,50.95
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/18,1450元/月,新13-2-11,成华区建设路54号新13栋2单元6楼11号,成华区,挂牌公示,清盘项目2010-5-7 11:55:20,整租,69.2
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/14,1900元/月,6-3-206,高新区大源北二街48号6栋3单元2楼206号,高新南区,挂牌公示,高新区大源双河三期高层安置房2区工程,整租,50.52
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/14,1500元/月,3-3-12,锦江区上沙河堡街124号3栋3单元6楼12号,锦江区,挂牌公示,上沙河堡街,整租,102.4
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/16,1600元/月,1-1-805,武侯区沙堰街1号1栋1单元8楼805号,武侯区,挂牌公示,晋源彩庭・博派,整租,56.94
成都润锦城实业有限公司,02886943422,12%,季付,2022/07/13,1650元/月,-2-18,青羊区长顺下街69号2单元5楼18号,青羊区,挂牌公示,长顺下街,整租,52.99
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/28,1200元/月,1--19,金牛区西体路19号1栋5楼19号,金牛区,挂牌公示,芝麻街工程,整租,43.3
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/22,1654元/月,1-1-13,锦江区天仙桥北路3号附1号1栋1单元11楼13号,锦江区,挂牌公示,清盘项目2010-12-09 14:52:19,整租,39.67
成都润锦城实业有限公司,02886943422,12%,季付,2022/08/09,1300元/月,大板-2-5,武侯区人民南路四段7号大板栋2单元2楼5号,武侯区,挂牌公示,清盘项目2010-11-02 10:04:25,整租,48.15
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/13,2000元/月,7--2804,高新区锦泰路28号7栋28楼2804号,高新南区,挂牌公示,泰悦豪庭,整租,59.66
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/17,1600元/月,1-1-207,青羊区大安东路3号1栋1单元2楼207号,青羊区,挂牌公示,水岸丽舍,整租,51.18
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/24,1800元/月,1-4-2,金牛区解放路一段83号1栋4单元5楼2号,金牛区,挂牌公示,清盘项目2010-11-16 13:26:49,整租,74.77
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/18,1780元/月,2-6-9,锦江区二环路东五段10号2栋6单元4楼9号,锦江区,挂牌公示,清盘项目2010-11-10 14:11:15,整租,53.57
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/29,2000元/月,1-2-1,锦江区三圣街24号1栋2单元1楼1号,锦江区,挂牌公示,三圣街,整租,72.67
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/11,1800元/月,8-3-33,锦江区海椒市街15号8栋3单元5楼33号,锦江区,挂牌公示,清盘项目2010-07-06 9:53:08,整租,59.08
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/16,1900元/月,1--9,青羊区正通顺街41号1栋10楼9号,青羊区,挂牌公示,住宅、商业(时代领地),整租,61.32
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/22,1650元/月,1-4-18,武侯区百花正街65号1栋4单元7楼18号,武侯区,挂牌公示,清盘项目2011-2-14 15:31:17,整租,56.79
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/16,1798元/月,13-2-2005,西航港街道黄河中路二段36号附圣菲TOWN城号13栋2单元20楼2005号,双流区,挂牌公示,圣菲TOWN城,整租,77.89
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/12,1900元/月,3-1-1102,成华区荆翠中路300号3栋1单元11楼1102号,成华区,挂牌公示,蓉华上林万华苑,整租,71.32
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/12,1555元/月,1--1717,青羊区文翁路139号1栋17楼1717号,青羊区,挂牌公示,成都力迅-国际公寓,整租,44.89
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/07/11,1200元/月,17-3-31,金牛区肖家村四巷8号17栋3单元4楼31号,金牛区,挂牌公示,清盘项目2010-11-09 9:25:39,整租,48.36
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/11,1000元/月,1-2-19,武侯区国学巷37号1栋2单元2楼19号,武侯区,挂牌公示,国学巷,整租,33.89
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/08,1440元/月,1-1-8,武侯区十七巷老3号1栋1单元4楼8号,武侯区,挂牌公示,清盘项目2010-11-19 14:23:47,整租,45.27
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/07,1300元/月,大板-2-1,武侯区人民南路四段7号大板栋2单元4楼1号,武侯区,挂牌公示,清盘项目2010-11-02 10:04:25,整租,41.76
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/12,1950元/月,21-1-1303,成华区和韵路109号21栋1单元13楼1303号,成华区,挂牌公示,蓝光锦绣城,整租,62.74
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/08/10,1250元/月,6-1-404,成华区华冠路4号6栋1单元4楼404号,成华区,挂牌公示,龙潭工业园区拆迁安置房二期西区,整租,53.4
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/29,2000元/月,1-3-8,金牛区金罗路5号1栋3单元4楼8号,金牛区,挂牌公示,金罗路,整租,71.06
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/15,1700元/月,1-4-7,金牛区金沙路西巷17号1栋4单元4楼7号,金牛区,挂牌公示,清盘项目2010-6-29 9:32:57,整租,74.3
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/13,1600元/月,7-4-12,成华区双林路44号7栋4单元6楼12号,成华区,挂牌公示,清盘项目2011-02-18 16:46:45,整租,56.57
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/11,1900元/月,2-4-11,青羊区磨底河沿巷7号2栋4单元4楼11号,青羊区,挂牌公示,清盘项目2010-11-05 16:08:30,整租,73.69
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/17,1830元/月,1-1-40,锦江区东大街上东大街段2号1栋1单元7楼40号,锦江区,挂牌公示,清盘项目2011-08-09 16:04:40,整租,44.21
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/25,1880元/月,3-4-102,青羊区玉宇路998号3栋4单元1楼102号,青羊区,挂牌公示,橙花风景,整租,62.91
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/25,1200元/月,31--21,成华区建设路41号31栋6楼21号,成华区,挂牌公示,清盘项目2010-05-06 15:22:29,整租,53.89
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/19,1500元/月,6-2-1304,青羊区蜀鑫路8号6栋2单元13楼1304号,青羊区,挂牌公示,海亮樾金沙,整租,80.44
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/19,1580元/月,19-4-9,金牛区百寿路19栋4单元5楼9号,金牛区,挂牌公示,百?路,整租,70.8
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/12,1500元/月,14-1-7,成华区双桥路249号14栋1单元4楼7号,成华区,挂牌公示,双桥路北,整租,69.42
成都润锦城实业有限公司,02886943422,12%,季付,2022/07/13,1519元/月,1-1-1308,锦江区梨花街12号1栋1单元13楼1308号,锦江区,挂牌公示,商业，住宅及附属设施用房,整租,37.23
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/07/11,1000元/月,7-5-1,成华区双沙路160号7栋5单元2楼1号,成华区,挂牌公示,清盘项目2012-10-19 14:28:24,整租,66.64
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/19,2000元/月,3-1-8,锦江区冻青树街70号3栋1单元4楼8号,锦江区,挂牌公示,冻青树街,整租,63.45
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/11,1370元/月,1--1407,青羊区人民中路三段1号1栋14楼1407号,青羊区,挂牌公示,壹号公馆,整租,43.58
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/17,1550元/月,1-1-10,青羊区西府北街8号1栋1单元8楼10号,青羊区,挂牌公示,时代凯悦,整租,48.55
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/05,1400元/月,8-4-12,金牛区平福巷2号8栋4单元6楼12号,金牛区,挂牌公示,平福巷,整租,58
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/16,1600元/月,2-1-12,锦江区东安北左街23号2栋1单元4楼12号,锦江区,挂牌公示,清盘项目2010-12-1 11:42:21,整租,57.54
成都润锦城实业有限公司,02886943422,12%,季付,2022/07/11,1800元/月,11-1-1716,高新区大源北一街25号11栋1单元17楼1716号,高新南区,挂牌公示,大源双河三期农迁房,整租,50.66
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/26,1650元/月,1-2-6,青羊区东二道街64号1栋2单元3楼6号,青羊区,挂牌公示,清盘项目2010-07-26 15:37:03,整租,57.33
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/12,1800元/月,1-2-1,青羊区铜丝街2号1栋2单元5楼1号,青羊区,挂牌公示,铜丝街,整租,63.46
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/18,1950元/月,15-1-2005,双流区协中路111号15栋1单元20楼2005号,双流区,挂牌公示,中铁・骑士府邸（一期）7#、10-16#楼,整租,67.11
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/11,1980元/月,1-2-13,武侯区郭家桥正街1号1栋2单元7楼13号,武侯区,挂牌公示,清盘项目2011-02-22 16:29:54,整租,57.02
成都润锦城实业有限公司,02886943422,12%,季付,2022/07/15,1950元/月,5-3-6,青羊区贝森南路95号5栋3单元3楼6号,青羊区,挂牌公示,清盘项目2010-12-06 17:04:14,整租,72.9
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/25,1901元/月,79-3-33,锦江区海椒市街15号79栋3单元6楼33号,锦江区,挂牌公示,清盘项目2010-7-2 17:00:03,整租,79.66
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/08/16,1310元/月,1-4-8,青羊区王家塘街9号1栋4单元3楼8号,青羊区,挂牌公示,王家塘街,整租,40.73
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/17,1600元/月,4-8-14,锦江区东光街11号4栋8单元7楼14号,锦江区,挂牌公示,清盘项目2010-11-5 14:34:59,整租,69.7
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/19,1600元/月,2-2-18,金牛区星汉路1号2栋2单元5楼18号,金牛区,挂牌公示,清盘项目2010-12-30 17:49:35,整租,64.5
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/26,1667元/月,1-2-19,青羊区西府北街16号1栋2单元16楼19号,青羊区,挂牌公示,时代凯悦,整租,52.49
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/09,1460元/月,1-4-3,武侯区致民东路79号1栋4单元15楼3号,武侯区,挂牌公示,清盘项目2012-07-24 16:53:19,整租,42.12
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/07/13,1400元/月,5-1-1303,成华区荆竹东路288号5栋1单元13楼1303号,成华区,挂牌公示,东林城市花园,整租,56.75
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/06,1900元/月,1-1-2931,锦江区大业路6号1栋1单元29楼2931号,锦江区,挂牌公示,财富中心（一期）,整租,47.53
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/18,2000元/月,3-2-33,金牛区北站西一巷7号3栋2单元3楼33号,金牛区,挂牌公示,清盘项目2010-11-12 15:38:35,整租,80.7